"Province","District","Market","Commodity","Average Price","Date"
"Southern","NYANZA","Busasamana","Ibihaza","250","04/18/2024"
"Southern","NYANZA","Busasamana","Amakara","10000","04/18/2024"
"Southern","NYANZA","Busasamana","Isombe","600","04/18/2024"
"Southern","NYANZA","Busasamana","Umuceri-Asia","1500","04/18/2024"
"Southern","NYANZA","Busasamana","Umuceri-Tz","2200","04/18/2024"
"Southern","NYANZA","Busasamana","Umuceri Thailand","1650","04/18/2024"
"Southern","NYANZA","Busasamana","Umuceri - Umuhinde","1500","04/18/2024"
"Southern","NYANZA","Busasamana","Umuceri - RW - Kigori","1300","04/18/2024"
"Southern","NYANZA","Busasamana","Avoka","500","04/18/2024"
"Southern","NYANZA","Busasamana","Amashu","300","04/18/2024"
"Southern","NYANZA","Busasamana","Urunyogwe","1700","04/18/2024"
"Southern","NYANZA","Busasamana","Amasaka","650","04/18/2024"
"Southern","NYANZA","Busasamana","Soya","700","04/18/2024"
"Southern","NYANZA","Busasamana","Amatunda","1800","04/18/2024"
"Southern","NYANZA","Busasamana","Ibinyomoro","1500","04/18/2024"
"Southern","NYANZA","Busasamana","Amacunga","800","04/18/2024"
"Southern","NYANZA","Busasamana","Ingano","1000","04/18/2024"
"Southern","NYANZA","Busasamana","igi - irinyaRwanda","250","04/18/2024"
"Southern","NYANZA","Busasamana","Igi- Pondeze","160","04/18/2024"
"Southern","NYANZA","Busasamana","inshyushyu","500","04/18/2024"
"Southern","NYANZA","Busasamana","Amavuta - Amamesa","2000","04/18/2024"
"Southern","NYANZA","Busasamana","Amavuta ubuto","2500","04/18/2024"
"Southern","NYANZA","Busasamana","Ifu-imyumbati","750","04/18/2024"
"Southern","NYANZA","Busasamana","Ifu-ibigori","500","04/18/2024"
"Southern","NYANZA","Busasamana","Ifu - Ibigori - Mugurusu","1000","04/18/2024"
"Southern","NYANZA","Busasamana","Ibishyimbo - Mushingiriro","650","04/18/2024"
"Southern","NYANZA","Busasamana","Ibishyimbo Shyushya","650","04/18/2024"
"Southern","NYANZA","Busasamana","Ibishyimbo Ibinyarwanda","600","04/18/2024"
"Southern","NYANZA","Busasamana","ibirayi - Kirundo","570","04/18/2024"
"Southern","NYANZA","Busasamana","Ibirayi- Kinigi Grade 2","600","04/18/2024"
"Southern","NYANZA","Busasamana","Ibijumba","250","04/18/2024"
"Southern","NYANZA","Busasamana","Imyumbati","400","04/18/2024"
"Southern","NYANZA","Busasamana","Igitoki","400","04/18/2024"
"Southern","NYANZA","Busasamana","Isukari","1800","04/18/2024"
"Southern","NYANZA","Busasamana","Ubuki","5500","04/18/2024"
"Southern","NYANZA","Busasamana","IFI - Tomson","3500","04/18/2024"
"Southern","NYANZA","Busasamana","inyama-inka-imvange","4000","04/18/2024"
"Southern","NYANZA","Busasamana","Inyama-inka- Iroti","5000","04/18/2024"
"Southern","NYANZA","Busasamana","Ifi- Indagara-umunyu","4000","04/18/2024"
"Southern","NYANZA","Busasamana","Tungurusumu","4000","04/18/2024"
"Southern","NYANZA","Busasamana","Ibitunguru-umweru","1700","04/18/2024"
"Southern","NYANZA","Busasamana","ibitunguru-bitukura","1500","04/18/2024"
"Southern","NYANZA","Busasamana","Karoti","700","04/18/2024"
"Southern","NYANZA","Busasamana","Inyanya","1000","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibirayi- Kinigi Grade 1","700","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibirayi- Kinigi Grade 2","650","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Amatunda","2500","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibinyomoro","2000","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","ibitunguru-bitukura","1500","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Karoti","850","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Inyanya","1500","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Inyama-inka- Iroti","6000","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","inyama-inka-imvange","4800","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Inyama - Inkoko - rwanda","6000","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","inyama - inkoko - pondezi","4000","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Igi- Pondeze","160","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","igi - irinyaRwanda","250","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Imyumbati","600","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibijumba","500","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Igitoki","500","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibirayi - Umweru","600","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibigori","600","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ifu - Ibigori - Mugurusu","1000","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ifu - Ibigori - MINIMEX","1000","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ifu - Ibigori - Gashumba","1000","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","inshyushyu","650","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","IFI - Tilapia","4700","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri-Tz","2400","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri - RW - Kigori","1200","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri Pakistani","1500","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri Thailand","1700","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri - Umuhinde","1500","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibishyimbo Shyushya","800","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibishyimbo/Mutiki","1000","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibishyimbo Colta","1100","04/18/2024"
"Kigali City","KICUKIRO","Ziniya","Ibishyimbo - Injyamane","1300","04/18/2024"
"Kigali City","NYARUGENGE","Nyarugenge Modern","Karoti","900","04/18/2024"
"Kigali City","NYARUGENGE","Nyarugenge Modern","Imyumbati","793","04/18/2024"
"Kigali City","NYARUGENGE","Nyarugenge Modern","Ibirayi- Kinigi Grade 1","700","04/18/2024"
"Kigali City","NYARUGENGE","Nyarugenge Modern","Ibinyomoro","1800","04/18/2024"
"Kigali City","NYARUGENGE","Nyarugenge Modern","Amatunda","2500","04/18/2024"
"Kigali City","NYARUGENGE","Nyarugenge Modern","Ibijumba","500","04/18/2024"
"Kigali City","NYARUGENGE","Nyarugenge Modern","Inyanya","1267","04/18/2024"
"Kigali City","NYARUGENGE","Nyarugenge Modern","Ibishyimbo Shyushya","1000","04/18/2024"
"Kigali City","NYARUGENGE","Nyarugenge Modern","Ibishyimbo Colta","1300","04/18/2024"
